datetime,COGT,PT08_S1CO,NMHCGT,C6H6GT,PT08_S2NMHC,NOxGT,PT08_S3NOx,NO2GT,PT08_S4NO2,PT08_S5O3,T,RH,AH,hour,day_of_week,month,is_weekend
2004-04-30 23:00:00,3.1,1406.25,275.0,13.697100382456911,1106.75,167.0,718.25,108.0,1871.5,1383.75,17.699999809265,66.875,1.3422182010696533,23,4,4,0
2004-05-01 00:00:00,3.5,1424.5,275.0,15.187991985721863,1154.5,185.0,709.25,110.0,1935.75,1788.75,17.775000095367,66.750001907349,1.345959864201086,0,5,5,1
2004-05-01 01:00:00,2.4,1179.0,275.0,9.293399930759756,950.75,129.0,825.75,84.0,1723.5,1322.5,17.275000095367,68.27499961853,1.3345848697226224,1,5,5,1
2004-05-01 02:00:00,1.6,1046.75,275.0,6.462705341030986,833.0,85.0,939.25,71.0,1647.25,1081.0,16.525000095367,70.224998474121,1.3099186335166972,2,5,5,1
2004-05-01 03:00:00,1.3,1009.25,275.0,6.280933632518836,824.75,85.0,950.0,71.0,1628.5,937.75,15.650000095367,73.075000762939,1.2902305208881812,3,5,5,1
2004-05-01 04:00:00,1.3,882.25,275.0,3.542514346206186,684.75,35.0,1133.5,42.0,1492.0,672.75,16.174999952316,69.89999961853,1.2755733418332384,4,5,5,1
2004-05-01 05:00:00,0.6,858.0,275.0,2.566706973107863,624.0,24.0,1205.25,32.0,1434.25,543.0,16.650000095367,67.124999046326,1.2619229465477226,5,5,5,1
2004-05-01 06:00:00,0.7,874.5,275.0,3.104478541444618,658.5,30.0,1180.0,35.0,1451.75,561.25,16.724999904633,66.874998092651,1.2631312913600283,6,5,5,1
2004-05-01 07:00:00,1.2,1012.0,275.0,6.451625978003892,832.5,75.0,915.75,67.0,1632.25,861.75,16.875000476837,66.549999237061,1.2688256915163194,7,5,5,1
2004-05-01 08:00:00,1.5,1049.25,275.0,6.534918634306473,836.25,79.0,926.0,73.0,1615.0,900.75,17.724999427795,61.97500038147,1.245804234450369,8,5,5,1
2004-05-01 09:00:00,1.8,1131.0,275.0,8.81989445253267,932.25,104.0,854.25,86.0,1692.75,1048.25,19.425000190735,54.574999809265,1.218386356145657,9,5,5,1
2004-05-01 10:00:00,2.1,1119.5,275.0,8.781965454686262,930.75,118.0,885.75,89.0,1651.5,970.5,21.575000286102,46.075000762939,1.1725221760612543,10,5,5,1
2004-05-01 11:00:00,1.9,1117.25,275.0,9.15795459328947,945.5,105.0,909.0,86.0,1656.5,915.0,24.625,36.674999237061,1.1201715962503869,11,5,5,1
2004-05-01 12:00:00,2.0,1109.5,275.0,9.209452844252333,947.5,101.0,900.5,86.0,1632.0,890.75,26.000000476837,31.900001049042,1.0565930479855168,12,5,5,1
2004-05-01 13:00:00,1.3,961.75,275.0,6.079764050342559,815.5,65.0,1043.75,66.0,1489.25,627.75,25.575000286102,31.52499961853,1.0184177367979412,13,5,5,1
2004-05-01 14:00:00,1.3,963.25,275.0,6.512662727014059,835.25,59.0,1028.5,68.0,1495.25,555.75,24.775000572205,34.774998664856,1.0716122290175427,14,5,5,1
2004-05-01 15:00:00,1.8,1050.25,275.0,9.215898780684322,947.75,80.0,928.0,82.0,1583.75,651.5,26.125,30.275000572205,1.0101488818677111,15,5,5,1
2004-05-01 16:00:00,2.0,1053.25,275.0,8.276765149047742,910.5,98.0,948.75,91.0,1603.25,683.0,25.474999904633,33.525000572205,1.076671251067215,16,5,5,1
2004-05-01 17:00:00,1.8,1044.75,275.0,8.25214813535065,909.5,89.0,947.5,95.0,1597.5,623.75,23.674999713898,37.22500038147,1.0745750328232098,17,5,5,1
2004-05-01 18:00:00,2.4,1123.75,275.0,10.963457959141822,1013.0,114.0,849.25,104.0,1675.75,732.75,22.25,38.949999809265,1.0323931961051376,18,5,5,1
2004-05-01 19:00:00,4.0,1329.75,275.0,14.712582780369386,1139.5,195.0,759.25,131.0,1780.25,1062.25,20.650000095367,42.799999237061,1.029761382249692,19,5,5,1
2004-05-01 20:00:00,2.8,1170.75,275.0,10.762921529695843,1005.75,156.0,834.75,112.0,1673.75,988.25,18.974999904633,51.675000190735,1.1221836115191808,20,5,5,1
